environment_parameter,min_value,max_value
financial_sector_debt_share,0,1
nonfinancial_c_corp_debt_share,0,1
nonfinancial_pass_thru_debt_share,0,1
ooh_debt_share,0,1
c_corp_equity_retained_earnings_share,0,1
nominal_rate_of_return_equity,0,1
nominal_rate_of_return_debt,0,1
inflation_rate,NA,NA
avg_local_prop_tax_rate,0,1
cap_gains_short_term_share,0,1
cap_gains_at_death_share,0,1
cap_gains_short_term_holding_period,0.0001,100
cap_gains_long_term_holding_period,0.0001,100
cap_gains_at_death_holding_period,0.0001,100
ret_plan_deferred_holding_period,0.0001,100
ret_plan_nontaxable_holding_period,0.0001,100
inventories_holding_period,0.0001,100
econ_depreciation_detailed_industry,0,1
c_corp_debt_shares,0,1
pass_thru_debt_shares,0,1
ooh_debt_shares,0,1
