policy_parameter,min_value,max_value
c_corp_tax_rate,0,1
pass_thru_tax_rate,0,1
seca_tax_rate,0,1
repurchases_tax_rate,0,1
ooh_tax_rate,0,1
dividend_inc_tax_rate,0,1
cap_gains_short_term_tax_rate,0,1
cap_gains_long_term_tax_rate,0,1
cap_gains_at_death_tax_rate,0,1
interest_inc_from_biz_tax_rate,0,1
interest_inc_from_ooh_tax_rate,0,1
ret_plan_deferred_tax_rate,0,1
ret_plan_nontaxable_tax_rate,0,1
mortg_interest_deduction_tax_rate,0,1
prop_tax_deduction_tax_rate,0,1
pass_thru_inc_share_below_thresholds,0,1
pass_thru_eligibility_below_thresholds,0,1
c_corp_interest_deductible_share,0,1
pass_thru_interest_deductible_share,0,1
mortg_interest_deductible_share,0,1
prop_tax_deductible_share,0,1
c_corp_net_inc_timing_adjustment,0,1
pass_thru_net_inc_timing_adjustment,0,1
seca_net_inc_timing_adjustment,0,1
c_corp_deductions_timing_adjustment,0,1
pass_thru_deductions_timing_adjustment,0,1
seca_deductions_timing_adjustment,0,1
c_corp_credits_timing_adjustment,0,1
pass_thru_credits_timing_adjustment,0,1
recovery_periods,0,100
acceleration_rates,0,5
straight_line_flags,-1,1
inflation_adjustments,0,1
c_corp_sec_179_expens_shares,0,1
pass_thru_sec_179_expens_shares,0,1
other_expens_shares,0,1
itc_rates,0,1
itc_nondeprcbl_bases,0,1
sec_199A_adjustments,0,1
c_corp_industry_adjustments,0,1
pass_thru_industry_adjustments,0,1
c_corp_asset_adjustments,0,1
pass_thru_asset_adjustments,0,1
c_corp_equity_account_category_share_taxable,0,1
c_corp_equity_account_category_share_deferred,0,1
c_corp_equity_account_category_share_nontaxable,0,1
c_corp_debt_account_category_share_taxable,0,1
c_corp_debt_account_category_share_deferred,0,1
c_corp_debt_account_category_share_nontaxable,0,1
pass_thru_equity_account_category_share_taxable,0,1
pass_thru_equity_account_category_share_deferred,0,1
pass_thru_equity_account_category_share_nontaxable,0,1
pass_thru_debt_account_category_share_taxable,0,1
pass_thru_debt_account_category_share_deferred,0,1
pass_thru_debt_account_category_share_nontaxable,0,1
ooh_equity_account_category_share_taxable,0,1
ooh_equity_account_category_share_deferred,0,1
ooh_equity_account_category_share_nontaxable,0,1
ooh_debt_account_category_share_taxable,0,1
ooh_debt_account_category_share_deferred,0,1
ooh_debt_account_category_share_nontaxable,0,1
